2025-06-19 14:21:34 INFO     {'input_dim': 88, 'z_dim': 10, 'batch_size': 20, 'epochs': 1000, 'min_epochs': 2, 'lr': 0.0003, 'beta1': 0.96, 'beta2': 0.999, 'clip_norm': 20.0, 'anneal_epochs': 1000, 'min_anneal': 0.1}
2025-06-19 14:41:49 INFO     [Epoch 0510]		(dt = 23.691 sec)
2025-06-19 14:41:49 INFO     [train epoch 00000510]  0.01885689
2025-06-19 14:41:49 INFO     [test epoch 00000510]  0.01982844
2025-06-19 14:42:13 INFO     [Epoch 0520]		(dt = 24.032 sec)
2025-06-19 14:42:13 INFO     [train epoch 00000520]  0.01856774
2025-06-19 14:42:13 INFO     [test epoch 00000520]  0.01952437
2025-06-19 14:42:37 INFO     [Epoch 0530]		(dt = 23.864 sec)
2025-06-19 14:42:37 INFO     [train epoch 00000530]  0.01828211
2025-06-19 14:42:37 INFO     [test epoch 00000530]  0.01923051
2025-06-19 14:43:01 INFO     [Epoch 0540]		(dt = 23.863 sec)
2025-06-19 14:43:01 INFO     [train epoch 00000540]  0.01801282
2025-06-19 14:43:01 INFO     [test epoch 00000540]  0.01894631
2025-06-19 14:43:24 INFO     [Epoch 0550]		(dt = 23.645 sec)
2025-06-19 14:43:24 INFO     [train epoch 00000550]  0.01774568
2025-06-19 14:43:25 INFO     [test epoch 00000550]  0.01867141
2025-06-19 14:43:48 INFO     [Epoch 0560]		(dt = 23.634 sec)
2025-06-19 14:43:48 INFO     [train epoch 00000560]  0.01749073
2025-06-19 14:43:48 INFO     [test epoch 00000560]  0.01840537
2025-06-19 14:44:12 INFO     [Epoch 0570]		(dt = 23.795 sec)
2025-06-19 14:44:12 INFO     [train epoch 00000570]  0.01723885
2025-06-19 14:44:12 INFO     [test epoch 00000570]  0.01814841
2025-06-19 14:44:36 INFO     [Epoch 0580]		(dt = 23.647 sec)
2025-06-19 14:44:36 INFO     [train epoch 00000580]  0.01700079
2025-06-19 14:44:36 INFO     [test epoch 00000580]  0.01789954
2025-06-19 14:44:59 INFO     [Epoch 0590]		(dt = 23.960 sec)
2025-06-19 14:44:59 INFO     [train epoch 00000590]  0.01676805
2025-06-19 14:45:00 INFO     [test epoch 00000590]  0.01765902
2025-06-19 14:45:23 INFO     [Epoch 0600]		(dt = 23.716 sec)
2025-06-19 14:45:23 INFO     [train epoch 00000600]  0.01654936
2025-06-19 14:45:24 INFO     [test epoch 00000600]  0.01742588
2025-06-19 14:45:47 INFO     [Epoch 0610]		(dt = 23.830 sec)
2025-06-19 14:45:47 INFO     [train epoch 00000610]  0.01631859
2025-06-19 14:45:47 INFO     [test epoch 00000610]  0.01720034
2025-06-19 14:46:11 INFO     [Epoch 0620]		(dt = 23.724 sec)
2025-06-19 14:46:11 INFO     [train epoch 00000620]  0.01610756
2025-06-19 14:46:11 INFO     [test epoch 00000620]  0.01698238
2025-06-19 14:46:35 INFO     [Epoch 0630]		(dt = 23.833 sec)
2025-06-19 14:46:35 INFO     [train epoch 00000630]  0.01590531
2025-06-19 14:46:35 INFO     [test epoch 00000630]  0.01677170
2025-06-19 14:46:58 INFO     [Epoch 0640]		(dt = 23.581 sec)
2025-06-19 14:46:58 INFO     [train epoch 00000640]  0.01570533
2025-06-19 14:46:58 INFO     [test epoch 00000640]  0.01656726
2025-06-19 14:47:22 INFO     [Epoch 0650]		(dt = 23.778 sec)
2025-06-19 14:47:22 INFO     [train epoch 00000650]  0.01552242
2025-06-19 14:47:22 INFO     [test epoch 00000650]  0.01637005
2025-06-19 14:47:45 INFO     [Epoch 0660]		(dt = 23.481 sec)
2025-06-19 14:47:45 INFO     [train epoch 00000660]  0.01532597
2025-06-19 14:47:46 INFO     [test epoch 00000660]  0.01617904
2025-06-19 14:48:09 INFO     [Epoch 0670]		(dt = 23.648 sec)
2025-06-19 14:48:09 INFO     [train epoch 00000670]  0.01515521
2025-06-19 14:48:09 INFO     [test epoch 00000670]  0.01599450
2025-06-19 14:48:33 INFO     [Epoch 0680]		(dt = 23.550 sec)
2025-06-19 14:48:33 INFO     [train epoch 00000680]  0.01498105
2025-06-19 14:48:33 INFO     [test epoch 00000680]  0.01581594
2025-06-19 14:48:56 INFO     [Epoch 0690]		(dt = 23.795 sec)
2025-06-19 14:48:56 INFO     [train epoch 00000690]  0.01480802
2025-06-19 14:48:57 INFO     [test epoch 00000690]  0.01564264
2025-06-19 14:49:20 INFO     [Epoch 0700]		(dt = 23.625 sec)
2025-06-19 14:49:20 INFO     [train epoch 00000700]  0.01463385
2025-06-19 14:49:20 INFO     [test epoch 00000700]  0.01547539
2025-06-19 14:49:44 INFO     [Epoch 0710]		(dt = 23.871 sec)
2025-06-19 14:49:44 INFO     [train epoch 00000710]  0.01448623
2025-06-19 14:49:44 INFO     [test epoch 00000710]  0.01531421
2025-06-19 14:50:08 INFO     [Epoch 0720]		(dt = 23.614 sec)
2025-06-19 14:50:08 INFO     [train epoch 00000720]  0.01433974
2025-06-19 14:50:08 INFO     [test epoch 00000720]  0.01515763
2025-06-19 14:50:31 INFO     [Epoch 0730]		(dt = 23.807 sec)
2025-06-19 14:50:31 INFO     [train epoch 00000730]  0.01418585
2025-06-19 14:50:32 INFO     [test epoch 00000730]  0.01500624
2025-06-19 14:50:55 INFO     [Epoch 0740]		(dt = 23.953 sec)
2025-06-19 14:50:55 INFO     [train epoch 00000740]  0.01403813
2025-06-19 14:50:56 INFO     [test epoch 00000740]  0.01485965
2025-06-19 14:51:19 INFO     [Epoch 0750]		(dt = 23.582 sec)
2025-06-19 14:51:19 INFO     [train epoch 00000750]  0.01389990
2025-06-19 14:51:19 INFO     [test epoch 00000750]  0.01471827
2025-06-19 14:51:42 INFO     [Epoch 0760]		(dt = 23.613 sec)
2025-06-19 14:51:42 INFO     [train epoch 00000760]  0.01377464
2025-06-19 14:51:43 INFO     [test epoch 00000760]  0.01458057
2025-06-19 14:52:06 INFO     [Epoch 0770]		(dt = 23.807 sec)
2025-06-19 14:52:06 INFO     [train epoch 00000770]  0.01363705
2025-06-19 14:52:07 INFO     [test epoch 00000770]  0.01444709
2025-06-19 14:52:30 INFO     [Epoch 0780]		(dt = 23.512 sec)
2025-06-19 14:52:30 INFO     [train epoch 00000780]  0.01350823
2025-06-19 14:52:30 INFO     [test epoch 00000780]  0.01431790
2025-06-19 14:52:54 INFO     [Epoch 0790]		(dt = 23.880 sec)
2025-06-19 14:52:54 INFO     [train epoch 00000790]  0.01338259
2025-06-19 14:52:54 INFO     [test epoch 00000790]  0.01419319
2025-06-19 14:53:17 INFO     [Epoch 0800]		(dt = 23.814 sec)
2025-06-19 14:53:17 INFO     [train epoch 00000800]  0.01326962
2025-06-19 14:53:18 INFO     [test epoch 00000800]  0.01407198
2025-06-19 14:53:41 INFO     [Epoch 0810]		(dt = 23.495 sec)
2025-06-19 14:53:41 INFO     [train epoch 00000810]  0.01315040
2025-06-19 14:53:41 INFO     [test epoch 00000810]  0.01395421
2025-06-19 14:54:05 INFO     [Epoch 0820]		(dt = 23.743 sec)
2025-06-19 14:54:05 INFO     [train epoch 00000820]  0.01305145
2025-06-19 14:54:05 INFO     [test epoch 00000820]  0.01383936
2025-06-19 14:54:28 INFO     [Epoch 0830]		(dt = 23.533 sec)
2025-06-19 14:54:28 INFO     [train epoch 00000830]  0.01293544
2025-06-19 14:54:29 INFO     [test epoch 00000830]  0.01372869
2025-06-19 14:54:52 INFO     [Epoch 0840]		(dt = 24.074 sec)
2025-06-19 14:54:52 INFO     [train epoch 00000840]  0.01283843
2025-06-19 14:54:53 INFO     [test epoch 00000840]  0.01362076
2025-06-19 14:55:16 INFO     [Epoch 0850]		(dt = 23.884 sec)
2025-06-19 14:55:16 INFO     [train epoch 00000850]  0.01273715
2025-06-19 14:55:17 INFO     [test epoch 00000850]  0.01351527
2025-06-19 14:55:40 INFO     [Epoch 0860]		(dt = 23.577 sec)
2025-06-19 14:55:40 INFO     [train epoch 00000860]  0.01262466
2025-06-19 14:55:40 INFO     [test epoch 00000860]  0.01341359
2025-06-19 14:56:04 INFO     [Epoch 0870]		(dt = 23.826 sec)
2025-06-19 14:56:04 INFO     [train epoch 00000870]  0.01252977
2025-06-19 14:56:04 INFO     [test epoch 00000870]  0.01331570
2025-06-19 14:56:27 INFO     [Epoch 0880]		(dt = 23.577 sec)
2025-06-19 14:56:27 INFO     [train epoch 00000880]  0.01243644
